1,Lina,Nebozenko,79986267928,44444444@gmail.com,140000,qa
2,Lina,Nebozenko,79901548629,5555555@gmail.com,60000,project
3,Denis,Usenko,79076740193,77777777@mail.ru,80000,chief
4,Sonya,Petrenko,79077511037,99999999@yandex.ru,90000,developer
5,Pasha,Ivanov,79563628832,44444444@gmail.com,70000,devops
6,Roma,Fomenko,79769442639,77777777@mail.ru,90000,project
7,Lina,Zinchenko,79757182053,44444444@gmail.com,120000,project
8,Natasha,Ivanov,79205968099,666666666@mail.ru,70000,chief
9,Igor,Usenko,79933913455,88888888@mail.ru,140000,chief
10,Natasha,Ivanov,79057013663,2222222@yandex.ru,120000,qa
11,Natasha,Zinchenko,79945707129,88888888@mail.ru,80000,chief
12,Natasha,Krasota,79129527584,333333@mail.ru,90000,sales
13,Natasha,Kaleeva,79865709440,666666666@mail.ru,70000,qa
14,Natasha,Krasota,79107087309,2222222@yandex.ru,90000,devops
15,Anna,Morozov,79856788344,77777777@mail.ru,100000,chief
16,Roma,Usenko,79497583938,88888888@mail.ru,110000,chief
17,Natasha,Nebozenko,79974126266,333333@mail.ru,120000,project
18,Lana,Zinchenko,79128569300,11111@gmail.com,120000,developer
19,Igor,Zinchenko,79654897784,99999999@yandex.ru,80000,sales
20,Igor,Ivanov,79954787495,2222222@yandex.ru,120000,sales
21,Pasha,Zinchenko,79915068768,88888888@mail.ru,90000,developer
22,Roma,Krasota,79559728757,88888888@mail.ru,100000,project
23,Dima,Petrenko,79904460236,2222222@yandex.ru,80000,chief
24,Anna,Krasota,79378827020,5555555@gmail.com,90000,developer
25,Lana,Nebozenko,79666494401,666666666@mail.ru,70000,developer
